Operating System,Processor Brand,Processor Name,RAM,RAM Type,SSD,SSD Capacity,Screen Resolution,Screen Size,Storage Type,Touchscreen,Type,Brand,Price
Windows 11 Home,AMD,Ryzen 5,8 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,Acer,"₹34,990"
Windows 11 Home,Intel,Core i7,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,MSI,"₹57,990"
Windows 11 Home,Intel,Core i5,16 GB,LPDDR5X,Yes,512 GB,1920 x 1200 Pixel,35.56 cm (14 Inch),SSD,Yes,2 in 1 Laptop,Lenovo,"₹72,490"
Windows 11 Home,AMD,Ryzen 3 Quad Core,8 GB,DDR5,Yes,512 GB,1920 x 1080 pixel,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹27,190"
Windows 11 Home,AMD,Ryzen 5 Hexa Core,8 GB,DDR4,Yes,512 GB,1920 x 1200 Pixel,35.56 cm (14 Inch),SSD,No,Thin and Light Laptop,Lenovo,"₹48,990"
Windows 11 Home,AMD,Ryzen 3 Quad Core,8 GB,DDR4,Yes,256 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,Acer,"₹27,990"
Windows 11 Home,Intel,Core i5,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,HP,"₹51,999"
Windows 11 Home,Intel,Core i3,8 GB,LPDDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,Thomson,"₹25,990"
Windows 11 Home,Intel,Core Ultra 7,16 GB,LPDDR5X,Yes,1 TB,2880 x 1620 Pixels,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,ASUS,"₹86,990"
Windows 11 Home,Intel,Core i5,16 GB,LPDDR5,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,Acer,"₹47,990"
Windows 11 Home,AMD,Ryzen 7 Octa Core,16 GB,LPDDR4X,Yes,512 GB,1920 x 1080 Pixel,35.56 cm (14 inch),SSD,Yes,2 in 1 Laptop,Lenovo,"₹63,990"
Windows 11 Home,Intel,Core i3,8 GB,DDR4,Yes,512 GB,1920 x 1080 Pixels,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,ASUS,"₹32,990"
Windows 11 Home,AMD,Ryzen 7 Octa Core,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹41,990"
Windows 11 Home,AMD,Ryzen 7 Octa Core,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹41,990"
Windows 11 Home,Intel,Core i5,16 GB,LPDDR5,Yes,512 GB,2880 x 1620 Pixel,39.62 cm (15.6 inch),SSD,No,Thin and Light Laptop,ASUS,"₹76,990"
Windows 11 Home,Intel,Core i5,16 GB,DDR4,Yes,512 GB,1920 x 1080 pixel,35.56 cm (14 inch),SSD,Yes,Laptop,HP,"₹59,990"
Windows 11 Home,AMD,Athlon Dual Core,8 GB,DDR5,Yes,512 GB,1920 X 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,Lenovo,"₹26,700"
Windows 11 Home,Intel,Core i5,16 GB,DDR4,Yes,512 GB,1920 x 1080 Pixel,39.62 cm (15.6 Inch),SSD,No,Gaming Laptop,MSI,"₹53,500"
Windows 11 Home,Qualcomm,Snapdragon X Plus,16 GB,LPDDR5X,Yes,1 TB,2880 x 1620 Pixel,39.62 cm (15.6 Inch),SSD,No,Thin and Light Laptop,ASUS,"₹89,990"
Windows 11 Home,Intel,Core Ultra 5,16 GB,LPDDR5X,Yes,1 TB,1920 x 1200 Pixel,40.64 cm (16 inch),SSD,No,Thin and Light Laptop,Lenovo,"₹81,990"
